# Rime user dictionary
#@/db_name	easy_en
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	59
#@/user_id	mac
abase 	abase	c=5 d=4.81433 t=59
algorithm 	algorithm	c=2 d=1.98511 t=59
bosun 	bosun	c=1 d=0.985112 t=59
bush 	bush	c=1 d=0.995012 t=59
calculator 	calculator	c=4 d=3.63378 t=59
check 	check	c=1 d=0.99005 t=59
clear 	clear	c=1 d=1 t=59
clue 	clue	c=1 d=0.918512 t=59
component 	component	c=1 d=0.97531 t=59
count 	count	c=1 d=0.97531 t=59
dorado 	dorado	c=1 d=1 t=59
factor 	factor	c=2 d=1.99501 t=59
hello 	hello	c=1 d=0.955997 t=59
hippo 	hippo	c=1 d=0.995012 t=59
hive 	hive	c=1 d=0.995012 t=59
index 	index	c=1 d=0.97531 t=59
ipv 	IPv4	c=1 d=1 t=59
ipv 	IPv6	c=7 d=6.8082 t=59
knowledge 	knowledge	c=1 d=0.995012 t=59
limit 	limit	c=1 d=0.995012 t=59
long 	long	c=1 d=0.927743 t=59
participant 	participant	c=1 d=0.99005 t=59
pipeline 	pipeline	c=1 d=0.99005 t=59
pony 	pony	c=17 d=15.3278 t=59
producer 	producer	c=1 d=0.951229 t=59
profile 	profile	c=1 d=1 t=59
recommend 	recommend	c=1 d=1 t=59
showcase 	showcase	c=1 d=0.99005 t=59
shul 	shul	c=2 d=1.9458 t=59
source 	source	c=2 d=1.97516 t=59
static 	static	c=1 d=1 t=59
strategy 	strategy	c=2 d=1.98511 t=59
student 	student	c=2 d=1.96531 t=59
tail 	tail	c=2 d=1.89137 t=59
thrift 	thrift	c=1 d=1 t=59
transform 	transform	c=1 d=1 t=59
true 	true	c=1 d=0.946485 t=59
user 	user	c=1 d=0.985112 t=59
women 	women	c=1 d=1 t=59
