# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
a a 	啊啊	c=1 d=0.970446 t=5927
a dui 	啊對	c=1 d=1 t=5927
a dui dui 	啊對對	c=2 d=1.60351 t=5912
ai 	愛	c=1 d=0.0831104 t=5927
ai ren 	爱人	c=1 d=0.650509 t=5927
an duo 	安多	c=1 d=0.806541 t=5927
an li shuo 	按理說	c=1 d=0.235746 t=5927
an niu 	按扭	c=2 d=1.99501 t=5790
an quan xing 	安全性	c=1 d=0.496585 t=5927
an zhao 	按照	c=3 d=0.865045 t=5927
an zhuang 	安裝	c=10 d=2.06039 t=5927
an zhuang de 	安裝的	c=1 d=0.790571 t=5927
an zhuang shi 	安裝時	c=1 d=0.311923 t=5927
ang 	昂	c=0 d=0.067368 t=5927
ba 	吧	c=38 d=3.52201 t=5927
ba 	把	c=10 d=1.54619 t=5927
ba shui 	把水	c=0 d=0.0683861 t=5927
ba shui fang jin 	把水放進	c=1 d=0.687289 t=5927
ba wo 	把我	c=1 d=0.843665 t=5927
ba zhe xie 	把這些	c=1 d=0.00362464 t=5927
ba zhi qian de 	把之前的	c=1 d=0.336216 t=5927
ban 	半	c=2 d=1.81873 t=5740
ban ben 	版本	c=5 d=1.72577 t=5927
ban tian 	半天	c=3 d=1.11592 t=5927
bang mang 	幫忙	c=1 d=0.145597 t=5927
bang ni 	幫你	c=2 d=0.597501 t=5927
bang wo 	幫我	c=3 d=0.876354 t=5927
bao 	包	c=6 d=3.41753 t=5927
bao 	報	c=1 d=0.677057 t=5927
bao cun 	保存	c=1 d=0.822835 t=5927
bao cuo 	報錯	c=10 d=0.812123 t=5927
bao cuo de 	報錯的	c=2 d=0.618783 t=5927
bao cuo ke 	報錯可	c=1 d=0.318224 t=5927
bao cuo le 	報錯了	c=1 d=0.000602152 t=5927
bao de 	報的	c=0 d=0.000249118 t=5927
bao han 	保函	c=1 d=0.339596 t=5927
bao han 	包含	c=3 d=0.887371 t=5927
bao jing 	報警	c=21 d=0.737791 t=5927
bao liu 	保留	c=1 d=1.01809e-05 t=5927
bao qian 	抱歉	c=1 d=0.358796 t=5927
bao shou 	保守	c=2 d=0.537982 t=5927
bao zhang 	保障	c=5 d=0.540641 t=5927
bao zheng 	保證	c=1 d=2.02978e-05 t=5927
bao zheng 	暴政	c=1 d=2.01965e-05 t=5927
bei 	唄	c=1 d=0.625002 t=5927
bei 	被	c=0 d=0.0522046 t=5927
bei shi yong 	被使用	c=2 d=1.05725 t=5927
bei shu 	倍數	c=1 d=0.236928 t=5927
bei wo 	被我	c=1 d=0.543351 t=5927
ben 	本	c=1 d=0.149142 t=5927
ben ci 	本次	c=9 d=0.476762 t=5927
ben di 	本地	c=7 d=1.03766 t=5927
ben lai 	本來	c=1 d=0.172045 t=5927
ben shen 	本身	c=1 d=0.373439 t=5927
bi 	比	c=0 d=0.0427415 t=5927
bi jiao 	比較	c=1 d=0.627227 t=5927
bi jiao gao 	比較高	c=1 d=0.794534 t=5927
bi jiao hao 	比較好	c=1 d=1 t=5796
bi jiao lan 	比較懶	c=1 d=0.299692 t=5927
bian de 	變得	c=0 d=6.75539e-05 t=5927
bian feng 	邊鋒	c=1 d=0.201897 t=5927
bian geng 	變更	c=9 d=1.47049 t=5927
bian geng shi 	變更時	c=1 d=0.000137073 t=5927
bian hao 	編號	c=2 d=0.731266 t=5927
bian hua 	變化	c=1 d=0.000138083 t=5927
bian ji 	編輯	c=2 d=1.97045 t=5794
bian jian 	边见	c=1 d=1 t=5760
bian jie 	便捷	c=1 d=1 t=5761
bian le 	編了	c=1 d=0.38868 t=5927
bian li 	便利	c=0 d=0.0308819 t=5927
bian li de 	便利的	c=1 d=0.310367 t=5927
bian liang 	變量	c=10 d=0.788254 t=5927
