# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
a 	阿	c=1 d=2.11585e-23 t=58
a a 	啊啊	c=5 d=0.970446 t=58
a a a 	啊啊啊	c=3 d=1.73321e-42 t=58
a ba 	阿爸	c=1 d=0.000497955 t=58
a ben 	阿本	c=1 d=5.44369e-23 t=58
a dui 	啊对	c=91 d=1 t=58
a dui a 	啊对啊	c=17 d=0.852144 t=58
a dui dui 	啊对对	c=5 d=1.48765 t=58
a dui dui dui 	啊对对对	c=1 d=9.23872e-40 t=58
a fan da 	阿凡达	c=1 d=5.04519e-11 t=58
a ge 	阿格	c=0 d=7.06753e-07 t=58
a huang su 	吖黄素	c=0 d=2.52179e-30 t=58
a hui a 	啊会啊	c=1 d=0.000804733 t=58
a ji 	阿继	c=0 d=1.04113e-34 t=58
a jin 	阿金	c=0 d=0.0122456 t=58
a ka li 	阿卡里	c=3 d=0.000277463 t=58
a kan dao le 	啊看到了	c=1 d=2.54047e-57 t=58
a le 	阿乐	c=0 d=2.51057e-07 t=58
a li 	阿狸	c=1 d=5.89407e-17 t=58
a li tong 	阿里通	c=1 d=0.0029528 t=58
a niu 	阿牛	c=0 d=1.04042e-26 t=58
a que 	啊确	c=1 d=2.25289e-26 t=58
a que shi 	啊确实	c=49 d=0.204932 t=58
a shi 	啊是	c=2 d=0.0170774 t=58
a shi a 	啊是啊	c=154 d=1.03694 t=58
a shi ba 	啊是吧	c=6 d=0.0422141 t=58
a shi de 	啊是的	c=1 d=2.76359e-18 t=58
a shi de ba 	啊是的吧	c=1 d=0.0134335 t=58
a shi ma 	啊是吗	c=1 d=2.4267e-18 t=58
a shun di hong 	啊顺地红	c=1 d=6.62254e-35 t=58
a xing 	啊行	c=1 d=2.43886e-18 t=58
a xing a 	啊行啊	c=2 d=0.00293808 t=58
a yi 	阿易	c=0 d=0.00682212 t=58
a yo 	啊唷	c=0 d=6.13252e-14 t=58
a zhe 	啊这	c=20 d=5.60155e-11 t=58
a zhe 	阿者	c=1 d=4.02237e-22 t=58
ai 	爱	c=10 d=0.0831104 t=58
ai 	矮	c=0 d=1.17208e-16 t=58
ai ban bu ban 	爱搬不搬	c=1 d=8.51971e-28 t=58
ai ge 	挨个	c=1 d=2.76453e-23 t=58
ai ge na 	爱格纳	c=0 d=0.0458406 t=58
ai ge zi 	矮个子	c=3 d=2.81564e-15 t=58
ai hao 	爱好	c=2 d=1.14116e-24 t=58
ai mi li 	艾米丽	c=2 d=2.7058e-54 t=58
ai ni 	爱你	c=0 d=0.0159614 t=58
ai qing 	爱情	c=5 d=1.74011e-17 t=58
ai qing gong yu 	爱情公寓	c=1 d=1.15742e-14 t=58
ai qing niao 	爱情鸟	c=0 d=3.38017e-06 t=58
ai ren 	爱人	c=1 d=0.650509 t=58
ai ru huo 	爱如火	c=1 d=5.09053e-28 t=58
ai xue 	爱学	c=36 d=0.283654 t=58
ai xue 	癌学	c=1 d=9.32364e-30 t=58
ai yi ge 	爱一个	c=1 d=1.73137e-46 t=58
an 	俺	c=1 d=4.1851e-18 t=58
an 	安	c=1 d=9.37835e-40 t=58
an 	按	c=11 d=0.0639291 t=58
an an jing jing 	安安静静	c=1 d=1.60545e-40 t=58
an ben ci 	按本次	c=1 d=0.615697 t=58
an chan pin 	按产品	c=1 d=4.81156e-12 t=58
an duo 	安多	c=6 d=0.806541 t=58
an gan 	按干	c=1 d=0.0118551 t=58
an ge 	安哥	c=3 d=0.246597 t=58
an jian 	按键	c=9 d=0.362402 t=58
an jian 	案件	c=1 d=2.05074e-67 t=58
an jian ying she 	按键映射	c=1 d=7.22012e-22 t=58
an jiu 	暗九	c=1 d=5.00095e-25 t=58
an ke 	安可	c=1 d=8.31502e-36 t=58
an ke neng 	按可能	c=1 d=3.76206e-29 t=58
an ke neng gao kang 	按可能高抗	c=1 d=3.49986e-32 t=58
an le 	按了	c=6 d=0.00145901 t=58
an li 	案例	c=1 d=6.92758e-06 t=58
